split,class,source,source_path,target_path,title,description
train,electrical,synthetic,ml/raw_dataset/electrical/sd_electrical_000001_1664728518.png,ml/dataset/train/electrical/synthetic_000001.png,Electrical complaint sample 00001,Synthetic campus complaint image for class 'electrical'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
val,electrical,synthetic,ml/raw_dataset/electrical/sd_electrical_000002_1664728518.png,ml/dataset/val/electrical/synthetic_000001.png,Electrical complaint sample 00002,Synthetic campus complaint image for class 'electrical'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
test,electrical,synthetic,ml/raw_dataset/electrical/sd_electrical_000003_1363381363.png,ml/dataset/test/electrical/synthetic_000001.png,Electrical complaint sample 00003,Synthetic campus complaint image for class 'electrical'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
train,plumbing,synthetic,ml/raw_dataset/plumbing/sd_plumbing_000002_234695047.png,ml/dataset/train/plumbing/synthetic_000001.png,Plumbing complaint sample 00002,Synthetic campus complaint image for class 'plumbing'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
val,plumbing,synthetic,ml/raw_dataset/plumbing/sd_plumbing_000001_840850103.png,ml/dataset/val/plumbing/synthetic_000001.png,Plumbing complaint sample 00001,Synthetic campus complaint image for class 'plumbing'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
test,plumbing,synthetic,ml/raw_dataset/plumbing/sd_plumbing_000003_1933006989.png,ml/dataset/test/plumbing/synthetic_000001.png,Plumbing complaint sample 00003,Synthetic campus complaint image for class 'plumbing'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
train,furniture,synthetic,ml/raw_dataset/furniture/sd_furniture_000001_1907676575.png,ml/dataset/train/furniture/synthetic_000001.png,Furniture complaint sample 00001,Synthetic campus complaint image for class 'furniture'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
val,furniture,synthetic,ml/raw_dataset/furniture/sd_furniture_000003_1787794164.png,ml/dataset/val/furniture/synthetic_000001.png,Furniture complaint sample 00003,Synthetic campus complaint image for class 'furniture'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
test,furniture,synthetic,ml/raw_dataset/furniture/sd_furniture_000002_1721449833.png,ml/dataset/test/furniture/synthetic_000001.png,Furniture complaint sample 00002,Synthetic campus complaint image for class 'furniture'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
train,cleanliness,synthetic,ml/raw_dataset/cleanliness/sd_cleanliness_000001_989847547.png,ml/dataset/train/cleanliness/synthetic_000001.png,Cleanliness complaint sample 00001,Synthetic campus complaint image for class 'cleanliness'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
val,cleanliness,synthetic,ml/raw_dataset/cleanliness/sd_cleanliness_000002_1708796248.png,ml/dataset/val/cleanliness/synthetic_000001.png,Cleanliness complaint sample 00002,Synthetic campus complaint image for class 'cleanliness'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
test,cleanliness,synthetic,ml/raw_dataset/cleanliness/sd_cleanliness_000003_1295822844.png,ml/dataset/test/cleanliness/synthetic_000001.png,Cleanliness complaint sample 00003,Synthetic campus complaint image for class 'cleanliness'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
train,ac_ventilation,synthetic,ml/raw_dataset/ac_ventilation/sd_ac_ventilation_000001_1176300382.png,ml/dataset/train/ac_ventilation/synthetic_000001.png,Ac Ventilation complaint sample 00001,Synthetic campus complaint image for class 'ac_ventilation'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
val,ac_ventilation,synthetic,ml/raw_dataset/ac_ventilation/sd_ac_ventilation_000003_1450837539.png,ml/dataset/val/ac_ventilation/synthetic_000001.png,Ac Ventilation complaint sample 00003,Synthetic campus complaint image for class 'ac_ventilation'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
test,ac_ventilation,synthetic,ml/raw_dataset/ac_ventilation/sd_ac_ventilation_000002_155129445.png,ml/dataset/test/ac_ventilation/synthetic_000001.png,Ac Ventilation complaint sample 00002,Synthetic campus complaint image for class 'ac_ventilation'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
train,internet_wifi,synthetic,ml/raw_dataset/internet_wifi/sd_internet_wifi_000002_422141116.png,ml/dataset/train/internet_wifi/synthetic_000001.png,Internet Wifi complaint sample 00002,Synthetic campus complaint image for class 'internet_wifi'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
val,internet_wifi,synthetic,ml/raw_dataset/internet_wifi/sd_internet_wifi_000001_423101633.png,ml/dataset/val/internet_wifi/synthetic_000001.png,Internet Wifi complaint sample 00001,Synthetic campus complaint image for class 'internet_wifi'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
test,internet_wifi,synthetic,ml/raw_dataset/internet_wifi/sd_internet_wifi_000003_26769447.png,ml/dataset/test/internet_wifi/synthetic_000001.png,Internet Wifi complaint sample 00003,Synthetic campus complaint image for class 'internet_wifi'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
train,infrastructure,synthetic,ml/raw_dataset/infrastructure/sd_infrastructure_000001_1228594522.png,ml/dataset/train/infrastructure/synthetic_000001.png,Infrastructure complaint sample 00001,Synthetic campus complaint image for class 'infrastructure'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
val,infrastructure,synthetic,ml/raw_dataset/infrastructure/sd_infrastructure_000002_1666440490.png,ml/dataset/val/infrastructure/synthetic_000001.png,Infrastructure complaint sample 00002,Synthetic campus complaint image for class 'infrastructure'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
test,infrastructure,synthetic,ml/raw_dataset/infrastructure/sd_infrastructure_000003_1312978413.png,ml/dataset/test/infrastructure/synthetic_000001.png,Infrastructure complaint sample 00003,Synthetic campus complaint image for class 'infrastructure'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
train,security,synthetic,ml/raw_dataset/security/sd_security_000003_1728700787.png,ml/dataset/train/security/synthetic_000001.png,Security complaint sample 00003,Synthetic campus complaint image for class 'security'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
val,security,synthetic,ml/raw_dataset/security/sd_security_000002_1511054046.png,ml/dataset/val/security/synthetic_000001.png,Security complaint sample 00002,Synthetic campus complaint image for class 'security'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
test,security,synthetic,ml/raw_dataset/security/sd_security_000001_1664989810.png,ml/dataset/test/security/synthetic_000001.png,Security complaint sample 00001,Synthetic campus complaint image for class 'security'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
train,other,synthetic,ml/raw_dataset/other/sd_other_000001_1577756982.png,ml/dataset/train/other/synthetic_000001.png,Other complaint sample 00001,Synthetic campus complaint image for class 'other'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
val,other,synthetic,ml/raw_dataset/other/sd_other_000002_143426589.png,ml/dataset/val/other/synthetic_000001.png,Other complaint sample 00002,Synthetic campus complaint image for class 'other'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
test,other,synthetic,ml/raw_dataset/other/sd_other_000003_1940531521.png,ml/dataset/test/other/synthetic_000001.png,Other complaint sample 00003,Synthetic campus complaint image for class 'other'. Generated for Smart Campus complaint classifier training with realistic facility conditions.
